scenario,accuracy,macro_precision,macro_recall,macro_f1
Full supervision,0.921578947368421,0.921483125302955,0.921578947368421,0.9214499264381094
Weak supervision,0.7876315789473685,0.7878280898089929,0.7876315789473685,0.7857443439693826
Refined weak supervision,0.8169736842105263,0.8150300399328234,0.8169736842105264,0.8148156070627215
