rule_name,label_id,fired_count_on_subset,coverage_on_subset,correct_count_on_subset,precision
world_international,0,57,0.02375,54,0.9322033898305084
world_conflict,0,146,0.060833333333333336,127,0.8648648648648649
world_government,0,270,0.1125,190,0.7022058823529411
sports_gameplay,1,136,0.056666666666666664,125,0.9130434782608695
sports_leagues,1,96,0.04,87,0.8979591836734694
sports_results,1,244,0.10166666666666667,208,0.8495934959349594
business_macro,2,89,0.037083333333333336,75,0.8351648351648352
business_company,2,184,0.07666666666666666,136,0.7365591397849462
business_markets,2,205,0.08541666666666667,148,0.7198067632850241
tech_science,3,130,0.05416666666666667,99,0.7575757575757576
tech_digital,3,197,0.08208333333333333,149,0.7537688442211056
tech_devices,3,147,0.06125,108,0.7315436241610739
