scenario,label_id,label_name,precision,recall,f1,support
Full supervision,0,World,0.9378378378378378,0.9131578947368421,0.9253333333333333,1900
Full supervision,1,Sports,0.9563206577595067,0.9794736842105263,0.967758710348414,1900
Full supervision,2,Business,0.8941238750661725,0.8889473684210526,0.8915281076801267,1900
Full supervision,3,Sci/Tech,0.8976501305483029,0.9047368421052632,0.9011795543905635,1900
Weak supervision,0,World,0.8073144104803494,0.7784210526315789,0.792604501607717,1900
Weak supervision,1,Sports,0.8920140632847815,0.9347368421052632,0.912875867386276,1900
Weak supervision,2,Business,0.7469211822660099,0.638421052631579,0.688422247446084,1900
Weak supervision,3,Sci/Tech,0.7050627032048304,0.7989473684210526,0.7490747594374537,1900
Refined weak supervision,0,World,0.804718875502008,0.8436842105263158,0.8237410071942446,1900
Refined weak supervision,1,Sports,0.8952853598014888,0.9494736842105264,0.9215836526181354,1900
Refined weak supervision,2,Business,0.7827398913699457,0.6826315789473684,0.7292662355917908,1900
Refined weak supervision,3,Sci/Tech,0.7773760330578512,0.7921052631578948,0.7846715328467153,1900
